date,open,Customer_Footfall,visits,purchases,conversion_rate,Sales_Amount,gmv,avg_ticket_base,avg_ticket_with_impulse,impulse_attach_pct,impulse_avg_eur,items_per_ticket,quick_buy_pct,quick_buy_ticket,miel_u,loncheado_u,mermelada_u,queso_u,tote_u,picos_u,vino_u,minicata_u,Units_Sold,Inventory_Level,tote_stock,Online_Orders,online_orders_attr,contacts,campaign_conversions,referred_visits,baskets_via_lodging,market_segment,distribution_channel,Promotion,Holiday,holiday_or_event,Season,Day_Of_Week,Month,Year,partners_active,Demand_Level
2024-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,Closed,None,No,Yes,1,Invierno,Monday,1,2024,2,None
2024-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,Closed,None,No,Yes,1,Invierno,Tuesday,1,2024,2,None
2024-01-03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,Closed,None,No,Yes,1,Invierno,Wednesday,1,2024,2,None
2024-01-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,Closed,None,No,Yes,1,Invierno,Thursday,1,2024,2,None
2024-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,Closed,None,No,Yes,1,Invierno,Friday,1,2024,2,None
2024-01-06,1,18,18,8,0.4444,295.62,295.62,34.49,36.95,45.0,5.47,1.0,29.3,15.4,1,3,0,0,0,0,3,1,8,40,40,0,0,3,0,3,0,Direct,Direct,Yes,Yes,1,Invierno,Saturday,1,2024,2,Low
2024-01-07,1,7,7,3,0.4286,96.22,96.22,30.4,32.07,32.4,5.15,0.33,20.2,14.95,0,0,0,0,0,1,0,0,1,40,40,0,0,1,0,0,1,Event_local,Offline_event,No,No,0,Invierno,Sunday,1,2024,2,Low
2024-01-08,1,7,7,3,0.4286,117.26,117.26,37.2,39.09,31.2,6.02,0.33,26.9,16.39,0,0,0,0,1,0,0,0,1,39,39,2,0,1,0,1,0,Rural_lodging,Partner_referral,No,No,0,Invierno,Monday,1,2024,2,Low
2024-01-09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Tuesday,1,2024,2,None
2024-01-10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Wednesday,1,2024,2,None
2024-01-11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Thursday,1,2024,2,None
2024-01-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Friday,1,2024,2,None
2024-01-13,1,7,7,1,0.1429,32.63,32.63,31.34,32.63,29.9,4.33,1.0,21.7,12.75,0,0,1,0,0,0,0,0,1,39,39,0,0,0,0,0,0,Direct,Direct,No,No,0,Invierno,Saturday,1,2024,2,Low
2024-01-14,1,15,15,2,0.1333,76.23,76.23,33.8,38.11,41.6,10.38,1.5,24.8,17.47,1,0,0,0,0,1,0,1,3,39,39,1,1,1,1,0,0,Direct,Direct,Yes,No,0,Invierno,Sunday,1,2024,2,Low
2024-01-15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Monday,1,2024,2,None
2024-01-16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Tuesday,1,2024,2,None
2024-01-17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Wednesday,1,2024,2,None
2024-01-18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Thursday,1,2024,2,None
2024-01-19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Friday,1,2024,2,None
2024-01-20,1,8,8,3,0.375,108.34,108.34,34.12,36.11,35.0,5.71,0.0,26.0,18.31,0,0,0,0,0,0,0,0,0,39,39,0,0,1,0,0,1,Passerby,Walk_in,No,No,0,Invierno,Saturday,1,2024,2,Low
2024-01-21,1,8,8,5,0.625,218.07,218.07,42.07,43.61,28.2,5.48,0.6,15.2,14.32,0,0,2,0,0,1,0,0,3,39,39,1,0,2,0,0,0,Direct,Direct,No,No,0,Invierno,Sunday,1,2024,2,Low
2024-01-22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Monday,1,2024,3,None
2024-01-23,1,6,6,1,0.1667,36.41,36.41,34.57,36.41,36.9,5.0,0.0,26.8,17.53,0,0,0,0,0,0,0,0,0,39,39,0,0,1,0,0,0,Direct,Direct,No,No,0,Invierno,Tuesday,1,2024,2,Low
2024-01-24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Wednesday,1,2024,2,None
2024-01-25,1,14,14,4,0.2857,152.92,152.92,36.65,38.23,48.8,3.24,1.25,29.2,14.84,0,1,2,0,0,0,1,1,5,39,39,0,0,1,0,2,1,Event_local,Offline_event,No,No,0,Invierno,Thursday,1,2024,2,Low
2024-01-26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Friday,1,2024,2,None
2024-01-27,1,12,12,5,0.4167,151.47,151.47,28.0,30.29,37.4,6.13,0.8,26.5,18.73,2,0,0,0,1,0,0,1,4,38,38,0,0,2,0,0,0,Direct,Direct,No,No,0,Invierno,Saturday,1,2024,2,Low
2024-01-28,1,15,15,8,0.5333,257.07,257.07,31.12,32.13,22.2,4.57,0.88,26.6,16.55,1,2,1,2,0,0,1,0,7,38,38,1,0,3,0,0,0,Rural_lodging,Partner_referral,No,No,0,Invierno,Sunday,1,2024,2,Low
2024-01-29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Monday,1,2024,2,None
2024-01-30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Tuesday,1,2024,2,None
2024-01-31,1,6,6,3,0.5,100.73,100.73,32.57,33.58,30.2,3.34,1.0,18.7,14.78,2,0,0,0,0,1,0,0,3,38,38,1,0,1,0,1,0,Direct,Direct,No,No,0,Invierno,Wednesday,1,2024,2,Low
2024-02-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Thursday,2,2024,2,None
2024-02-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Friday,2,2024,2,None
2024-02-03,1,6,6,2,0.3333,74.19,74.19,35.41,37.1,37.5,4.5,0.0,14.5,11.35,0,0,0,0,0,0,0,0,0,38,38,0,0,1,0,1,0,Direct,Direct,No,No,0,Invierno,Saturday,2,2024,2,Low
2024-02-04,1,12,12,3,0.25,118.77,118.77,37.09,39.59,32.5,7.68,1.33,13.0,14.83,2,0,0,0,0,0,2,0,4,38,38,0,0,1,0,0,0,Direct,Direct,No,No,0,Invierno,Sunday,2,2024,3,Low
2024-02-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Monday,2,2024,2,None
2024-02-06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Tuesday,2,2024,3,None
2024-02-07,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Wednesday,2,2024,2,None
2024-02-08,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Thursday,2,2024,2,None
2024-02-09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Friday,2,2024,2,None
2024-02-10,1,6,6,2,0.3333,81.68,81.68,39.52,40.84,22.8,5.78,0.0,13.9,13.85,0,0,0,0,0,0,0,0,0,38,38,1,0,1,0,1,1,Direct,Direct,Yes,No,0,Invierno,Saturday,2,2024,2,Low
