Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;;2026M06;100
Total Nacional;;Viajero;Total Nacional;;2026M05;100
Total Nacional;;Viajero;Total Nacional;;2026M04;100
Total Nacional;;Viajero;Total Nacional;;2026M03;100
Total Nacional;;Viajero;Total Nacional;;2026M02;100
Total Nacional;;Viajero;Total Nacional;;2026M01;100
Total Nacional;;Viajero;Total Nacional;;2025M12;100
Total Nacional;;Viajero;Total Nacional;;2025M11;100
Total Nacional;;Viajero;Total Nacional;;2025M10;100
Total Nacional;;Viajero;Total Nacional;;2025M09;100
Total Nacional;;Viajero;Total Nacional;;2025M08;100
Total Nacional;;Viajero;Total Nacional;;2025M07;100
Total Nacional;;Viajero;Total Nacional;;2025M06;100
Total Nacional;;Viajero;Total Nacional;;2025M05;100
Total Nacional;;Viajero;Total Nacional;;2025M04;100
Total Nacional;;Viajero;Total Nacional;;2025M03;100
Total Nacional;;Viajero;Total Nacional;;2025M02;100
Total Nacional;;Viajero;Total Nacional;;2025M01;100
Total Nacional;;Viajero;Total Nacional;;2024M12;100
Total Nacional;;Viajero;Total Nacional;;2024M11;100
Total Nacional;;Viajero;Total Nacional;;2024M10;100
Total Nacional;;Viajero;Total Nacional;;2024M09;100
Total Nacional;;Viajero;Total Nacional;;2024M08;100
Total Nacional;;Viajero;Total Nacional;;2024M07;100
Total Nacional;;Viajero;Total Nacional;;2024M06;100
Total Nacional;;Viajero;Total Nacional;;2024M05;100
Total Nacional;;Viajero;Total Nacional;;2024M04;100
Total Nacional;;Viajero;Total Nacional;;2024M03;100
Total Nacional;;Viajero;Total Nacional;;2024M02;100
Total Nacional;;Viajero;Total Nacional;;2024M01;100
Total Nacional;;Viajero;Total Nacional;;2023M12;100
Total Nacional;;Viajero;Total Nacional;;2023M11;100
Total Nacional;;Viajero;Total Nacional;;2023M10;100
Total Nacional;;Viajero;Total Nacional;;2023M09;100
Total Nacional;;Viajero;Total Nacional;;2023M08;100
Total Nacional;;Viajero;Total Nacional;;2023M07;100
Total Nacional;;Viajero;Total Nacional;;2023M06;100
Total Nacional;;Viajero;Total Nacional;;2023M05;100
Total Nacional;;Viajero;Total Nacional;;2023M04;100
Total Nacional;;Viajero;Total Nacional;;2023M03;100
Total Nacional;;Viajero;Total Nacional;;2023M02;100
Total Nacional;;Viajero;Total Nacional;;2023M01;100
Total Nacional;;Viajero;Total Nacional;;2022M12;100
Total Nacional;;Viajero;Total Nacional;;2022M11;100
Total Nacional;;Viajero;Total Nacional;;2022M10;100
Total Nacional;;Viajero;Total Nacional;;2022M09;100
Total Nacional;;Viajero;Total Nacional;;2022M08;100
Total Nacional;;Viajero;Total Nacional;;2022M07;100
Total Nacional;;Viajero;Total Nacional;;2022M06;100
Total Nacional;;Viajero;Total Nacional;;2022M05;100
Total Nacional;;Viajero;Total Nacional;;2022M04;100
Total Nacional;;Viajero;Total Nacional;;2022M03;100
Total Nacional;;Viajero;Total Nacional;;2022M02;100
Total Nacional;;Viajero;Total Nacional;;2022M01;100
Total Nacional;;Viajero;Total Nacional;;2021M12;100
Total Nacional;;Viajero;Total Nacional;;2021M11;100
Total Nacional;;Viajero;Total Nacional;;2021M10;100
Total Nacional;;Viajero;Total Nacional;;2021M09;100
Total Nacional;;Viajero;Total Nacional;;2021M08;100
Total Nacional;;Viajero;Total Nacional;;2021M07;100
Total Nacional;;Viajero;Total Nacional;;2021M06;100
Total Nacional;;Viajero;Total Nacional;;2021M05;100
Total Nacional;;Viajero;Total Nacional;;2021M04;100
Total Nacional;;Viajero;Total Nacional;;2021M03;100
Total Nacional;;Viajero;Total Nacional;;2021M02;100
Total Nacional;;Viajero;Total Nacional;;2021M01;100
Total Nacional;;Viajero;Total Nacional;;2020M12;100
Total Nacional;;Viajero;Total Nacional;;2020M11;100
Total Nacional;;Viajero;Total Nacional;;2020M10;100
Total Nacional;;Viajero;Total Nacional;;2020M09;100
Total Nacional;;Viajero;Total Nacional;;2020M08;100
Total Nacional;;Viajero;Total Nacional;;2020M07;100
Total Nacional;;Viajero;Total Nacional;;2020M06;100
Total Nacional;;Viajero;Total Nacional;;2020M05;100
Total Nacional;;Viajero;Total Nacional;;2020M04;..
Total Nacional;;Viajero;Total Nacional;;2020M03;100
Total Nacional;;Viajero;Total Nacional;;2020M02;100
Total Nacional;;Viajero;Total Nacional;;2020M01;100
Total Nacional;;Viajero;Total Nacional;;2019M12;100
Total Nacional;;Viajero;Total Nacional;;2019M11;100
Total Nacional;;Viajero;Total Nacional;;2019M10;100
Total Nacional;;Viajero;Total Nacional;;2019M09;100
Total Nacional;;Viajero;Total Nacional;;2019M08;100
Total Nacional;;Viajero;Total Nacional;;2019M07;100
Total Nacional;;Viajero;Total Nacional;;2019M06;100
Total Nacional;;Viajero;Total Nacional;;2019M05;100
Total Nacional;;Viajero;Total Nacional;;2019M04;100
Total Nacional;;Viajero;Total Nacional;;2019M03;100
Total Nacional;;Viajero;Total Nacional;;2019M02;100
Total Nacional;;Viajero;Total Nacional;;2019M01;100
Total Nacional;;Viajero;Total Nacional;;2018M12;100
Total Nacional;;Viajero;Total Nacional;;2018M11;100
Total Nacional;;Viajero;Total Nacional;;2018M10;100
Total Nacional;;Viajero;Total Nacional;;2018M09;100
Total Nacional;;Viajero;Total Nacional;;2018M08;100
Total Nacional;;Viajero;Total Nacional;;2018M07;100
Total Nacional;;Viajero;Total Nacional;;2018M06;100
Total Nacional;;Viajero;Total Nacional;;2018M05;100
Total Nacional;;Viajero;Total Nacional;;2018M04;100
Total Nacional;;Viajero;Total Nacional;;2018M03;100
Total Nacional;;Viajero;Total Nacional;;2018M02;100
Total Nacional;;Viajero;Total Nacional;;2018M01;100
Total Nacional;;Viajero;Total Nacional;;2017M12;100
Total Nacional;;Viajero;Total Nacional;;2017M11;100
Total Nacional;;Viajero;Total Nacional;;2017M10;100
Total Nacional;;Viajero;Total Nacional;;2017M09;100
Total Nacional;;Viajero;Total Nacional;;2017M08;100
Total Nacional;;Viajero;Total Nacional;;2017M07;100
Total Nacional;;Viajero;Total Nacional;;2017M06;100
Total Nacional;;Viajero;Total Nacional;;2017M05;100
Total Nacional;;Viajero;Total Nacional;;2017M04;100
Total Nacional;;Viajero;Total Nacional;;2017M03;100
Total Nacional;;Viajero;Total Nacional;;2017M02;100
Total Nacional;;Viajero;Total Nacional;;2017M01;100
Total Nacional;;Viajero;Total Nacional;;2016M12;100
Total Nacional;;Viajero;Total Nacional;;2016M11;100
Total Nacional;;Viajero;Total Nacional;;2016M10;100
Total Nacional;;Viajero;Total Nacional;;2016M09;100
Total Nacional;;Viajero;Total Nacional;;2016M08;100
Total Nacional;;Viajero;Total Nacional;;2016M07;100
Total Nacional;;Viajero;Total Nacional;;2016M06;100
Total Nacional;;Viajero;Total Nacional;;2016M05;100
Total Nacional;;Viajero;Total Nacional;;2016M04;100
Total Nacional;;Viajero;Total Nacional;;2016M03;100
Total Nacional;;Viajero;Total Nacional;;2016M02;100
Total Nacional;;Viajero;Total Nacional;;2016M01;""
Total Nacional;;Viajero;Total Nacional;;2015M12;100
Total Nacional;;Viajero;Total Nacional;;2015M11;100
Total Nacional;;Viajero;Total Nacional;;2015M10;100
Total Nacional;;Viajero;Total Nacional;;2015M09;100
Total Nacional;;Viajero;Total Nacional;;2015M08;100
Total Nacional;;Viajero;Total Nacional;;2015M07;100
Total Nacional;;Viajero;Total Nacional;;2015M06;100
Total Nacional;;Viajero;Total Nacional;;2015M05;100
Total Nacional;;Viajero;Total Nacional;;2015M04;100
