Provincias de destino;Procedencia de los viajeros;Meses;Total
Albacete;Total;Total;97.289
Albacete;Total;Enero;4.944
Albacete;Total;Febrero;6.486
Albacete;Total;Marzo;7.788
Albacete;Total;Abril;6.992
Albacete;Total;Mayo;6.643
Albacete;Total;Junio;7.861
Albacete;Total;Julio;10.376
Albacete;Total;Agosto;14.937
Albacete;Total;Septiembre;7.333
Albacete;Total;Octubre;7.110
Albacete;Total;Noviembre;7.066
Albacete;Total;Diciembre;9.754
Albacete;Residentes en España;Total;96.420
Albacete;Residentes en España;Enero;4.859
Albacete;Residentes en España;Febrero;6.445
Albacete;Residentes en España;Marzo;7.755
Albacete;Residentes en España;Abril;6.966
Albacete;Residentes en España;Mayo;6.457
Albacete;Residentes en España;Junio;7.838
Albacete;Residentes en España;Julio;10.224
Albacete;Residentes en España;Agosto;14.852
Albacete;Residentes en España;Septiembre;7.282
Albacete;Residentes en España;Octubre;7.043
Albacete;Residentes en España;Noviembre;7.005
Albacete;Residentes en España;Diciembre;9.695
Albacete;No Residentes;Total;869
Albacete;No Residentes;Enero;86
Albacete;No Residentes;Febrero;41
Albacete;No Residentes;Marzo;33
Albacete;No Residentes;Abril;26
Albacete;No Residentes;Mayo;186
Albacete;No Residentes;Junio;23
Albacete;No Residentes;Julio;152
Albacete;No Residentes;Agosto;85
Albacete;No Residentes;Septiembre;51
Albacete;No Residentes;Octubre;68
Albacete;No Residentes;Noviembre;60
Albacete;No Residentes;Diciembre;59
Alicante;Total;Total;58.522
Alicante;Total;Enero;3.290
Alicante;Total;Febrero;4.154
Alicante;Total;Marzo;4.498
Alicante;Total;Abril;3.836
Alicante;Total;Mayo;5.406
Alicante;Total;Junio;5.408
Alicante;Total;Julio;6.231
Alicante;Total;Agosto;7.646
Alicante;Total;Septiembre;4.870
Alicante;Total;Octubre;5.354
Alicante;Total;Noviembre;3.494
Alicante;Total;Diciembre;4.336
Alicante;Residentes en España;Total;45.296
Alicante;Residentes en España;Enero;2.666
Alicante;Residentes en España;Febrero;3.131
Alicante;Residentes en España;Marzo;3.509
Alicante;Residentes en España;Abril;2.861
Alicante;Residentes en España;Mayo;4.194
Alicante;Residentes en España;Junio;4.145
Alicante;Residentes en España;Julio;4.812
Alicante;Residentes en España;Agosto;6.149
Alicante;Residentes en España;Septiembre;3.535
Alicante;Residentes en España;Octubre;3.722
Alicante;Residentes en España;Noviembre;2.666
Alicante;Residentes en España;Diciembre;3.907
Alicante;No Residentes;Total;13.226
Alicante;No Residentes;Enero;624
Alicante;No Residentes;Febrero;1.023
Alicante;No Residentes;Marzo;988
Alicante;No Residentes;Abril;976
Alicante;No Residentes;Mayo;1.212
Alicante;No Residentes;Junio;1.263
Alicante;No Residentes;Julio;1.419
Alicante;No Residentes;Agosto;1.497
Alicante;No Residentes;Septiembre;1.334
Alicante;No Residentes;Octubre;1.632
Alicante;No Residentes;Noviembre;828
Alicante;No Residentes;Diciembre;429
Almería;Total;Total;34.121
Almería;Total;Enero;1.266
Almería;Total;Febrero;1.834
Almería;Total;Marzo;2.800
Almería;Total;Abril;2.584
Almería;Total;Mayo;2.936
Almería;Total;Junio;2.906
Almería;Total;Julio;3.749
Almería;Total;Agosto;6.361
Almería;Total;Septiembre;3.696
Almería;Total;Octubre;2.241
Almería;Total;Noviembre;1.576
Almería;Total;Diciembre;2.172
Almería;Residentes en España;Total;23.528
Almería;Residentes en España;Enero;955
Almería;Residentes en España;Febrero;1.335
Almería;Residentes en España;Marzo;1.863
Almería;Residentes en España;Abril;1.409
Almería;Residentes en España;Mayo;1.817
Almería;Residentes en España;Junio;2.104
Almería;Residentes en España;Julio;2.727
Almería;Residentes en España;Agosto;4.849
Almería;Residentes en España;Septiembre;2.241
Almería;Residentes en España;Octubre;1.176
Almería;Residentes en España;Noviembre;1.146
Almería;Residentes en España;Diciembre;1.907
Almería;No Residentes;Total;10.593
Almería;No Residentes;Enero;312
Almería;No Residentes;Febrero;500
Almería;No Residentes;Marzo;938
