Provincias de destino;Procedencia de los viajeros;Meses;Total
02 Albacete;Total;Total;250.026
02 Albacete;Total;Enero;10.643
02 Albacete;Total;Febrero;14.001
02 Albacete;Total;Marzo;19.716
02 Albacete;Total;Abril;15.381
02 Albacete;Total;Mayo;14.848
02 Albacete;Total;Junio;17.469
02 Albacete;Total;Julio;31.584
02 Albacete;Total;Agosto;52.092
02 Albacete;Total;Septiembre;16.992
02 Albacete;Total;Octubre;15.791
02 Albacete;Total;Noviembre;15.430
02 Albacete;Total;Diciembre;26.079
02 Albacete;Residentes en España;Total;248.241
02 Albacete;Residentes en España;Enero;10.406
02 Albacete;Residentes en España;Febrero;13.921
02 Albacete;Residentes en España;Marzo;19.611
02 Albacete;Residentes en España;Abril;15.295
02 Albacete;Residentes en España;Mayo;14.577
02 Albacete;Residentes en España;Junio;17.442
02 Albacete;Residentes en España;Julio;31.184
02 Albacete;Residentes en España;Agosto;51.971
02 Albacete;Residentes en España;Septiembre;16.906
02 Albacete;Residentes en España;Octubre;15.699
02 Albacete;Residentes en España;Noviembre;15.335
02 Albacete;Residentes en España;Diciembre;25.893
02 Albacete;No residentes en España;Total;1.785
02 Albacete;No residentes en España;Enero;237
02 Albacete;No residentes en España;Febrero;79
02 Albacete;No residentes en España;Marzo;105
02 Albacete;No residentes en España;Abril;86
02 Albacete;No residentes en España;Mayo;271
02 Albacete;No residentes en España;Junio;27
02 Albacete;No residentes en España;Julio;400
02 Albacete;No residentes en España;Agosto;120
02 Albacete;No residentes en España;Septiembre;85
02 Albacete;No residentes en España;Octubre;93
02 Albacete;No residentes en España;Noviembre;96
02 Albacete;No residentes en España;Diciembre;186
03 Alicante/Alacant;Total;Total;134.243
03 Alicante/Alacant;Total;Enero;5.458
03 Alicante/Alacant;Total;Febrero;8.120
03 Alicante/Alacant;Total;Marzo;10.410
03 Alicante/Alacant;Total;Abril;9.619
03 Alicante/Alacant;Total;Mayo;12.189
03 Alicante/Alacant;Total;Junio;11.413
03 Alicante/Alacant;Total;Julio;16.464
03 Alicante/Alacant;Total;Agosto;21.531
03 Alicante/Alacant;Total;Septiembre;10.601
03 Alicante/Alacant;Total;Octubre;11.578
03 Alicante/Alacant;Total;Noviembre;7.169
03 Alicante/Alacant;Total;Diciembre;9.691
03 Alicante/Alacant;Residentes en España;Total;97.362
03 Alicante/Alacant;Residentes en España;Enero;4.147
03 Alicante/Alacant;Residentes en España;Febrero;6.107
03 Alicante/Alacant;Residentes en España;Marzo;7.979
